"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","gir","hole_proximity","x_of_attempts","putts_round","scramble","sg_putt","sg_t2g","sg_total","sg_approach","sg_tee","sg_ar","par4_sa","par3_sa","par5_sa","covered_tee","left_rough","right_rough","fair_bunk","gir_fair","gir_not_fair","prox_fair","prox_rough","go_for_green","sand_save","prox_arg","putt_25","putt15_25","putt10_15","putt_10","finround_sa"
"110",2022,"Mark Hubbard","110",NA,NA,70.465,30,22.22,59.9,280.9,66.67,"11,364.583",305,28.43,68.33,0.253,0.357,0.61,0.328,-0.278,0.306,4,3,4.55,61.96,13.19,17.45,5.5,78.49,55.36,"33' 0""","45' 7""",21.05,54.39,"6' 6""",8.86,17.39,25.53,88.5,70
"111",2022,"Doug Ghim","111",1,NA,71.351,46,21.43,61.72,293.7,67.03,"21,455.333",606,29.2,61.54,-0.429,0.329,-0.1,0.383,-0.145,0.091,4.05,3.05,4.56,62.55,12.5,11.02,8.7,77.97,52.24,"30' 3""","47' 10""",27.4,56.67,"7' 2""",4.96,8,26.21,88.61,70.33
"112",2022,"Sahith Theegala","112",3,NA,71.093,59,20.83,53,301.3,66.2,"31,237.000",804,28.83,63.51,-0.111,0.361,0.25,0.112,0.049,0.2,4.03,3.04,4.54,63.43,15.03,19.77,7.7,76.91,55.47,"32' 1""","48' 4""",24.22,45.45,"8' 2""",6.53,16.56,29.37,87.91,72.5
"113",2022,"Ryan Palmer","113",NA,NA,71.033,37,17.59,53.63,306.4,69.52,"16,724.750",460,30.22,54.68,-0.697,0.739,0.042,0.21,0.437,0.092,4.04,3.09,4.67,63.78,16.48,14.53,7,78.39,59.32,"30' 11""","44' 5""",27.59,53.7,"8' 11""",3.33,17.71,22.67,86.15,70.43
"114",2022,"Sepp Straka","114",2,1,71.08,55,19.71,58.73,300.1,68.38,"22,880.500",637,29.31,59.8,0.295,-0.218,0.077,-0.097,0.058,-0.18,4.04,3.05,4.62,63.22,11.45,16.27,7,80.19,53.69,"31' 2""","46' 0""",25.61,52.94,"7' 4""",6.99,18.64,30,88.26,69.3
"115",2022,"Luke Donald","T115",NA,NA,71.025,33,27.27,58.42,284.5,67.51,"12,093.917",360,28.67,65.28,-0.021,0.156,0.135,0.947,-0.866,0.074,3.99,2.96,4.77,61.26,14.23,11.68,9.5,76.4,54.21,"28' 7""","44' 1""",12,59.18,"6' 10""",7.89,20.27,32.76,86.34,71.6
"116",2022,"Brendan Steele","T115",1,NA,71.074,45,19.27,58.95,309.1,68.4,"21,894.667",609,29.47,64.06,-0.467,0.481,0.014,-0.171,0.752,-0.101,4.01,3.11,4.58,64.61,13.83,14.04,5.1,78.32,56.03,"33' 3""","41' 8""",26.67,48.05,"7' 8""",3.14,12.2,23.23,89.49,70
"117",2022,"Matthew NeSmith","T117",1,NA,70.878,52,23.53,63.08,297.1,69.23,"26,847.167",714,29.62,59.38,-0.23,0.491,0.261,0.441,0.131,-0.081,4.04,3.05,4.63,62.28,13.09,14.91,3.1,78.05,51.89,"32' 4""","48' 3""",15.22,36.49,"7' 11""",4.35,13.39,29.6,87.8,70
"118",2022,"Robert Streb","T117",3,NA,71.109,45,12.93,61,299,64.57,"26,229.167",661,28.62,64.11,0.117,-0.138,-0.021,-0.105,-0.122,0.089,4.06,3.05,4.55,62.6,16.04,10.1,7.7,75.33,48.96,"34' 10""","44' 2""",17.44,50,"8' 8""",1.78,20.49,27.78,88.63,70.14
"119",2022,"Lucas Herbert","119",2,1,71.808,29,30.88,53.53,299.9,58.76,"14,111.917",350,27.5,64.25,0.82,-1.427,-0.607,-1.114,-0.573,0.261,4.04,3.1,4.62,64.14,8.39,17.15,6.9,74.62,45.03,"36' 5""","45' 4""",28.81,67.31,"7' 9""",1.05,16,38.89,91.53,71.75
